-1326.203613,2,286 
-1325.457275,1,203 
-1325.909302,5,449 
-1324.603149,1,150 
-1325.350098,2,427 
-1325.378052,8,397 
-1326.173096,9,608 
-1326.777344,1,155 
-1327.700806,3,190 
-1327.753784,4,285 
-1326.374756,1,169 691 
-1326.487305,1,602 
-1326.451294,1,384 
-1326.487305,1,383 
-1325.853394,1,48 
-1325.973389,1,478 
-1326.032471,2,13 
-1327.133667,5,405 
-1327.041626,1,144 
-1327.115601,1,384 
-1326.856567,7,501 
-1326.445557,1,450 
-1325.674561,8,148 
-1324.304565,1,39 
-1323.778931,3,132 
-1323.755005,1,383 
-1322.978027,8,377 
-1323.183105,1,582 
-1323.941162,1,294 
-1324.814453,1,291 
-1326.140503,1,286 
-1326.722534,1,133 
-1325.506470,3,424 
-1325.468140,3,134 
-1325.532104,8,384 
-1326.312012,4,376 
-1325.672485,4,204 
-1326.265503,4,338 
-1325.487427,26,208 
-1324.557251,5,375 
-1324.069092,1,336 
-1324.493164,3,451 
-1325.728271,4,423 
-1325.524170,4,583 
-1326.007324,1,338 
-1326.902588,5,195 
-1327.108643,5,582 
-1326.637695,3,448 
-1324.970703,3,600 
-1325.947632,1,601 
-1325.741577,2,583 
-1326.238037,5,603 
-1327.541016,5,40 
-1328.856079,14,149 
-1328.776123,5,383 
-1327.917114,2,499 
-1327.775269,8,396 
-1328.248291,10,449 
-1329.126221,2,501 
-1329.382202,2,384 
-1329.327148,1,397 
-1330.136108,2,147 
-1329.985107,3,477 
-1330.319946,13,161 
-1329.510986,2,148 
-1329.315063,3,618 
-1328.844116,11,448 
-1329.291016,3,51 
-1328.273071,2,221 
-1328.580078,2,500 
-1328.635132,12,396 
-1328.580078,2,397 
-1327.573730,2,154 
-1327.089722,4,336 
-1327.304688,2,478 
-1327.339966,4,132 
-1328.224976,4,220 
-1328.258423,1,692 
-1327.126465,3,499 
-1327.079468,4,383 
-1326.913574,3,396 
-1325.913452,2,406 
-1326.383545,7,449 
-1326.591553,5,582 
-1326.561646,1,604 
-1326.264160,5,49 
-1327.275391,2,155 
-1326.637207,4,297 
-1326.205078,3,607 
-1322.687134,1,346 
-1323.501099,1,147 
-1323.503296,10,162 
-1323.903320,2,133 
-1324.895508,6,405 
-1325.505615,4,159 
-1325.502441,7,161 
-1325.782959,2,602 
-1325.976807,2,619 
-1325.060791,1,293 
-1325.098755,1,373 
-1323.818481,4,292 
-1323.072510,1,132 
-1323.818481,23,133 
-1321.861572,1,158 
-1321.400513,3,517 
-1321.587402,4,397 
-1321.415771,1,231 
-1320.464844,4,335 
-1320.925781,5,518 
-1319.372437,5,203 
-1319.170288,1,583 
-1320.786865,9,691 168 
-1321.541016,1,206 
-1321.114014,2,450 
-1321.754028,9,337 
-1322.059448,2,48 
-1321.598511,1,517 
-1321.770142,4,230 
-1323.070435,3,291 
-1323.082275,2,384 
-1322.799805,1,603 
-1320.958740,12,482 
-1322.096680,3,500 
-1322.523682,2,451 
-1322.328857,1,618 
-1322.304932,13,383 
-1322.524048,2,582 
-1321.159546,3,600 
-1320.713623,1,52 
-1321.176636,4,518 
-1321.142578,10,194 
-1321.483765,1,339 
-1321.681641,1,619 
-1321.470703,7,162 
-1321.409668,1,12 
-1321.853516,13,51 
-1324.049927,4,204 
-1323.744507,2,49 
-1323.252441,1,46 
-1324.312500,1,294 
-1324.442749,7,377 
-1324.479736,5,384 
-1325.008301,9,52 
-1325.069336,4,13 
-1325.177246,1,161 
-1324.423096,5,208 
-1324.255981,2,337 
-1325.035889,3,376 
-1324.621948,5,450 
-1325.035889,3,451 
-1326.840088,2,481 
-1326.732178,2,162 
-1326.595215,2,477 
-1326.417236,3,479 
-1326.881226,1,47 
-1325.895996,2,154 
-1326.073975,9,477 
-1325.908325,8,231 
-1326.017212,5,161 
-1326.721191,4,298 
-1325.487183,1,73 
-1325.044189,7,517 
-1325.191406,5,339 
-1325.569458,3,608 
-1326.803467,3,74 
-1326.734375,1,12 
-1326.542480,6,618 
-1326.132446,6,450 
-1327.112427,9,601 
-1327.522461,2,451 
-1326.252441,3,39 
-1327.251709,3,155 
-1327.043579,4,583 
-1330.439575,1,347 
-1330.342529,3,337 
-1330.032471,2,501 
-1330.473999,5,603 
-1329.331665,6,292 
-1330.590698,5,40 
-1329.368530,1,424 
-1329.388062,1,601 
-1329.450073,4,219 
-1329.964111,1,602 
-1328.578491,12,692 169 
-1328.786621,1,582 
-1328.338623,7,448 
-1328.407837,16,13 
-1328.338623,1,12 
-1328.786621,2,449 
-1328.801758,7,396 
-1328.922974,5,339 
-1328.992065,5,13 
-1328.498535,5,51 
-1328.692505,2,478 
-1328.820557,1,143 
-1329.145508,1,500 
-1328.249390,5,373 
-1328.293945,10,691 169 
-1327.959961,8,501 
-1327.890747,5,12 
-1328.351807,8,518 
-1328.218750,2,144 
-1328.526733,3,374 
-1328.784790,5,372 
-1328.755249,7,692 169 
-1329.248779,7,52 
-1329.013794,7,383 
-1328.558838,8,517 
-1328.065186,6,603 
-1327.178223,6,132 
-1328.309448,3,291 
-1326.958496,8,491 
-1327.413452,5,518 
-1327.482666,5,13 
-1327.720581,10,384 
-1328.458740,1,206 
-1328.693237,9,602 
-1327.879272,19,148 
-1328.192139,9,131 
-1327.567261,3,48 
-1326.488037,7,154 
-1325.727783,2,208 
-1326.206787,3,338 
-1326.439819,7,143 
-1327.086914,1,49 
-1326.219849,3,499 
-1326.081787,3,220 
-1324.960815,3,473 
-1324.541748,5,450 
-1322.934814,1,54 
-1323.690918,2,206 
-1323.691772,1,397 
-1324.740845,2,147 
-1324.287842,4,517 
-1324.218750,4,12 
-1324.412598,1,619 
-1324.110596,2,132 
-1324.179810,3,13 
-1323.734253,6,51 
-1323.665039,9,12 
-1323.516113,5,477 
-1323.124146,1,144 
-1322.888916,6,583 
-1322.958130,8,13 
